"productora","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Mandeville Films",11,6.11870529011746,58807450.4545455,35.7179593636364
"Strike Entertainment",7,6.56361957525392,55255753.5714286,35.6005245714286
"Jerry Weintraub Productions",8,6.48828965053764,146157892.25,35.566214125
"Parallel Zide",2,5.65515615792575,128527391,35.5167795
"Section Eight",8,6.75806420327805,120104991.875,35.453696375
"1984 Private Defense Contractors",5,6.14149417083036,7323892.8,35.4468172
"Mike Zoss Productions",8,6.93535353535353,82435516,35.440744625
"Misher Films",6,6.03018552875696,60896474.1666667,35.3986981666667
"EuropaCorp",24,6.36897017486219,51132065.5833333,35.2811372916667
"Vendian Entertainment",3,6.38490418459132,5068982,35.2633606666667
"Lionsgate",56,6.62980628974853,67230643.75,35.2295392678571
"Ciné+",12,6.20067385444744,73649876,35.16422825
"Little Bird",3,6.62859903381642,92036361.6666667,35.1293603333333
"Don Carmody Productions",4,6.00816091954023,3049832.75,35.04759975
"Radiant Productions",5,6.58267154301637,154739543,35.003252
"A24",9,7.2551466109806,4408927.88888889,34.9401444444444
"Valhalla Motion Pictures",7,5.9618699369937,78608411.7142857,34.9180821428571
"Cruise/Wagner Productions",14,6.63818764568765,149762497.214286,34.9052282857143
"KMP Film Invest",2,6.25137546468401,46550729,34.8914405
"Bagdasarian Productions",3,5.52721268163804,301087397,34.871888
"Iron Horse Entertainment (II)",3,6.29480340940335,107767121.666667,34.854244
"WT2 Productions",2,7.47634069400631,65519696,34.7765485
"Pacific Western",7,7.34732543895467,77529702.5714286,34.593526
"Team Todd",8,6.94424706649283,153736509.625,34.5830115
"Ingenious Film Partners",29,6.60672180885646,187525206.310345,34.4963210344828
"WCG Entertainment Productions",2,6.55525540275049,132973146.5,34.4220725
"Twisted Pictures",8,6.36690656727927,101436991.5,34.38617
"Twentieth Century Fox Film Corporation",219,6.74672198155394,130264764.881279,34.3046878767123
"Adam Fields Productions",2,7.65326971653101,-8364739,34.2532375
"Practical Pictures",3,5.70797454137027,116591313.333333,34.2256563333333
"Leverage Management",2,6.9640243902439,73697800.5,34.2246425
"Sycamore Pictures",2,7.22914521112255,37031756.5,33.9400645
"Major Studio Partners",5,6.36513513513514,152548562.6,33.8149762
"Evil Twins",2,6.94971031286211,19345363,33.7632695
"Dovemead Films",3,6.41630079402148,139509116,33.7288193333333
"First Light Production",3,6.90010509721492,18329894,33.646355
"Celador Films",4,7.27753723932473,101128310.25,33.600997
"Goldcrest Pictures",12,6.14212202048016,64105863.5833333,33.5832348333333
"ARD Degeto Film",3,6.65582624009392,15598043.3333333,33.5439303333333
"Penn Station Entertainment",2,5.96272493573265,84978070,33.484028
"Media Magik Entertainment",2,6.09285714285714,189029056.5,33.4418695
"FilmNation Entertainment",10,6.99857142857143,51112306.4,33.3968554
"Wonderland Sound and Vision",6,6.01718723619787,61134313.5,33.3966255
"River Road Entertainment",8,7.56542883304507,45704868.875,33.388883
"Hey Eddie",3,5.16567728008635,105581044,33.3238366666667
"FilmDistrict",8,6.62980301101041,21857180.375,33.32333
"Molinare Investment",2,7.49331990600873,187105774.5,33.185328
