"actor","n","weighted_mean_votos","weighted_mean_beneficios","weighted_mean_popularidad"
"Charles Keating",3,5.9,25170057,7.558959
"DMX",4,5.8,-5.7e+07,7.524671
"Rudy Costa",2,5.9,-3100000,7.453347
"Terence Rigby",2,5.6,0,7.377587
"Brett Ratner",2,6.5,-12256692,7.226115
"Lyriq Bent",3,5.7,-25641967,7.222985
"Tyra Ferrell",2,5.5,0,7.173059
"Elisabeth Shue",17,6.9,-13525082,7.05145
"Gino Corrado",6,5.8,-4e+07,7.021871
"Darren Moore",2,5.2,-5170043,7.001176
"Geraldine Chaplin",9,6.7,-7470234,6.932221
"Sasha Roiz",5,5.7,-4e+07,6.90894
"Hulk Hogan",3,6.8,47715416,6.847099
"Lexie Bigham",2,5.3,0,6.833164
"Warwick Davis",12,6.6,0,6.799314
"Trini Alvarado",5,6.9,0,6.796079
"Alan Ford",4,7.1,16389018,6.787967
"Karl Swenson",2,4.5,5800000,6.772615
"Joss Ackland",6,4.3,-32589251,6.760922
"Barbara Crampton",2,6.1,0,6.722213
"Wilmer Valderrama",4,5,0,6.718497
"Al Matthews",3,5.8,-7709024,6.589193
"Brian Cox",33,6,32169884,6.567065
"Roy Jones Jr.",3,6,-33796974,6.513856
"Hal Holbrook",13,5.4,30100000,6.420434
"Callum Keith Rennie",13,5.6,-3500000,6.396936
"Ira Wheeler",2,6.2,-1.4e+07,6.370267
"George Lazenby",3,4.6,-1.3e+07,6.337063
"Charles Gray",2,6.3,14334401,6.309587
"Linda Fiorentino",4,4.7,-4.5e+07,6.250282
"Kelly Asbury",2,6.6,-2e+06,6.249262
"Ben Cooke",2,6.4,0,6.2464
"Jesse James",8,6.3,15050028,6.216203
"April Grace",5,6.6,3929123,6.130096
"John Capodice",8,6.4,42145,6.085879
"Henry Rollins",6,4.7,18288674,6.081772
"Todd Bryant",2,6.2,223062864,5.954334
